Formato,Nome Formato,Programas que usam formato,Autor
iff,EA Interchange File Format,"ACD Systems ACDSee (Windows) ACD Systems Canvas (Windows) Adobe Audition (Windows & Mac) Apple QuickTime Player (Windows & Mac) Cloanto Amiga Forever (Windows, Mac & Linux) Corel PaintShop Pro X8 (Windows) IFFPencil (Windows) IFFSnooper (Mac) IrfanView (Windows) ShedWorx Smart Converter (Mac) XnViewMP (Windows & Linux)",Electronic Arts
kar,Karaoke files,Mireth Technology Music Man Nullsoft Winamp PG music Band-in-a-Box Recisio KaraFun vanBasco's Karaoke Player,Tune 1000 Corp
koz,Audiokoz Music File,This file can not be opened on a computer.,Audiokoz
m3u8,UTF-8 M3U Playlist File,Apple iTunes CocoModX Foobar2000 Nullsoft Winamp RealNetworks RealPlayer Cloud Roxio Creator NXT Pro 3 Songbird VideoLAN VLC media player XMMS,
m4a,MPEG-4 Audio Layer,Apple QuickTime Player Apple iTunes Microsoft Windows Media Player VideoLan VLC Media Player,Apple
m4b,MPEG-4 Audio Book File,"Apple iTunes (Windows & Mac) File Viewer Plus (Windows) Nullsoft Winamp (Windows) Microsoft Windows Media Player (Windows) Roxio Creator NXT Pro (Windows) Ventis Media MediaMonkey (Windows) VideoLAN VLC media player (Windows, Mac & Linux)",Apple
m4p,iTunes Music Store Audio File,KMPlayer iTunes Spotify VideoLAN VLC Madia Player QuickTime,Apple Inc.
m4r,iPhone Ringtone File,Apple QuickTime Player Apple iTunes,Apple Inc
mid,Musical Instrument Digital Interface MIDI-sequention Sound,Audio Evolution Sonar Master Tacks Pro GarageBand,Various
midi,MIDI files,Apple QuickTime Player Microsoft Windows Media Player Nullsoft Winamp Sonar GarageBand Audio Evolution Master Tacks Pro,Various
mmf,Synthetic Music Mobile Application File,"Yamaha MidRadio Player (Windows, Mac) Yamaha Mobile Contents Player (Windows)",Yamaha
mp2,MPEG Layer II Compressed Audio File,"Apple iTunes (Windows, Mac) Microsoft Windows Media Player (Windows) RealNetworks RealPlayer Cloud (Windows, Mac, Linux) VideoLAN VLC Media Player (Windows, Mac, Linux) PeonySoft MP2 Converter (Windows) Adobe Audition (Windows, Mac)",Moving Picture Experts Group
mp3,MPEG Layer 3 Audio,RealOne WinAmp Windows Media Player iTunes Real Player,Fraunhofer Institute
mpa,MPEG-2 Audio File,"Apple iTunes (Windows, Mac) Apple QuickTime Player (Windows, Mac) Microsoft Windows Media Player (Windows) RealNetwork RealPlayer Cloud (Windows, Mac & Linux) VideoLAN VLC media player (Windows, Mac, Linux & iOS)",
mpc,Musepack Compressed Audio File,Aqualung Audacious DeliPlayer jetAudio JRiver Media Center MPlayer Nullsoft Winamp (plug-in needed) VideoLAN VLC media player,Musepack
mpga,MPEG-1 Layer 3 Audio File,Apple iTunes Microsoft Windows Media Player Real Networks Linux-Any Audio Player,
nfa,Netflix Audio File,Netflix (iOS & Android),Netflix
oga,Ogg Vorbis Audio File,"Apple QuickTime Player (Windows, Mac & Linux) File Viewer Plus (Windows) JRiver Media Center (Windows) Media Player Classic (Windows) MPlayer (Mac) Nullsoft Winamp (Windows) Totem (Linux) VideoLAN VLC media player (Windows, Mac & Linux) Zinf (Windows)",Xiph.Org
ogg,Ogg Vorbis Audio File,Apple QuickTime Player Real Player Windows Media Player,Xiph.Org Foundation
oma,Sony OpenMG audio,"Sony SonicStage (Windows) VideoLAN VLC media player (Windows, Mac, Linux)",Sony
opus,Opus Audio File,AIMP VideoLAN VLC Media Player OPUS tools,Xiph.org
qcp,Qualcomm PureVoice Audio File,QUALCOMM PureVoice Player-Recorder QUALCOMM PureVoice Converter QUALCOMM PureVoice SDK VideoLAN VLC Media Player,Qualcomm
ra,Real Audio File,"RealNetworks RealPlayer Cloud (Windows, Mac, Linux, iOS, Android) VideoLAN VLC Media Player (Windows, Mac, Linux) DVDVideoSoft Free Audio Converter (Windows) Web Browser With the RealPlayer Plugin (Windows, Mac, Linux)",RealNetworks
ram,Real Media Audio Metadata File,RealNetworks RealPlayer Cloud VideoLAN VLC Media Player,Real Networks
rta,TrueRTA Project File,True Audio TrueRTA Adobe RoboHelp 11,True Audio
wav,WAVE Audio,CyberLink PowerDirector Microsoft Windows Media Player Roxio Creator 2009 VideoLAN VLC Media Player,Microsoft & IBM
wma,Windows Media (Metafile),MPlayer Realplayer VLC Media Player Windows Media Player Windows Movie Maker Zune software Open Source,Microsoft
xspf,XML Shareable Playlist Format,Roxio Creator NXT Pro (Windows) VideoLAN VLC media player (Windows) Clementine (Windows VideoLAN VLC media player (Mac) Clementine (Mac) Amarok (Linux) Audacious (Linux) VideoLAN VLC media player (Linux) Clementine (Linux),N/A – open source
3dm,Rhino 3D Model,Autodesk Fusion 360 (Windows) IMSI TurboCAD Deluxe v8 (Mac) McNeel Rhino (Windows & Mac),Robert McNeel & Associates
3ds,3D Studio Scene,"Adobe Photoshop (Windows & Mac) Autodesk 3ds Max (Windows) CADSoftTools ABViewer (Windows) Cheetah3D (Mac) GLC_Player (Windows, Mac & Linux) IMSI TurboCAD Deluxe (Windows & Mac) MAXON Cinema 4D (Windows & Mac) MeshLab (Windows & Mac) pmG messiahStudio (Windows & Mac) Trimble SketchUp (Windows & Mac)",Autodesk
dwg,AutoCAD Drawing Database File,Adobe Illustrator AutoCAD Autodesk DWG TrueView CorelCAD,Autodesk
dxf,Drawing Exchange Format File,Adobe Illustratror AutoCAD CorelCAD Open Office PaintShop Pro,Autodesk
max,3ds Max Scene File,Autodesk 3ds Max,Autodesk
obj,Wavefront 3D Object File,"Adobe Photoshop CC (Windows & Mac) Autodesk AutoCAD (Windows) Autodesk Maya (Windows, Mac & Linux) Blender (Windows, Mac & Linux) Cheetah3D (Mac) Dassault Systemes SolidWorks (Windows) DAZ 3D DAZ Studio (Windows & Mac) GLC_Player (Linux) IMSI TurboCAD Deluxe (Mac) IMSI TurboCAD Pro (Windows) MeshLab (Windows, Mac & Linux) MAXON Cinema 4D (Windows & Mac) NewTek Lightwave (Windows & Mac) Siemens Solid Edge (Windows) Smith Micro Poser (Windows & Mac)",Wavefront Technologies
stp,STEP 3D CAD File,"Autodesk Fusion (Windows & Mac, iOS, Android & Windows Phone) CADSoftTools ABViewer (Windows) Dassault Systemes CATIA (Windows & Linux) eMachineShop Free Online STEP File Viewer (Web) FreeCAD (Windows, Mac & Linux) ideaMK STP Viewer (Windows) IMSI TurboCAD Pro (Windows & Mac) LKSoft IDA-STEP (Windows & Linux) Okino Computer Graphics PolyTrans (Windows) ShareCAD.org (Web) Wikifactory (Web)",
aae,Sidecar Image Edit File,Apple Photos (Mac) Apple Text Edit (Mac) Microsoft Notepad (Windows),Apple
adt,ACT! Document Template,Swiftpage Act! (Windows),Sage Software
bok,TestGen Testbank File,Pearson Education TestGen (Windows & Mac),Pearson Education
cel,Affymetrix Probe Results File,"Affymetrix Tiling Analysis Software (Windows) dChip (Windows) multi-aff-py (Windows, Mac & Linux) RMAExpress (Windows) The MathWorks MATLAB (Windows) VSN GenStat (Windows)",Affymetrix
clp,Windows Clipboard File,Corel PaintShop Pro (Windows) IrfanView (Windows) Microsoft ClipBook Viewer (Windows),Microsoft
cma,Coach Activity File,CMA Coach (Windows),CMA Foundation
dif,Data Interchange Format,"Apache OpenOffice (Windows, Mac & Linux) Corel WordPerfect (Windows) Gnumeric (Windows & Linux) IBM Collaboration Solutions (Windows) Microsoft Access (Windows) Microsoft Excel (Windows & Mac) Microsoft Notepad (Windows) Planamesa NeoOffice (Mac) SAS Institute SAS (Windows & Mac) Other text editors",Microsoft
efx,eFax Document,"j2 Global Communications eFax (Windows, Mac & Linux)",j2 Global Communications
fcpevent,Final Cut Pro Event File,Apple Final Cut Pro X (Mac),Apple
flo,RFFlow Flowchart File,RFF Electronics RFFlow (Windows),RFF Electronics
gbr,Gerber File,"Altium Designer (Windows) Artwork Conversion GBR2DXF (Windows) gEDA (Mac & Linux) Gerbv (Windows, Mac & Linux) GraphiCode GC-Prevue (Windows) PentaLogix ViewMate (Windows) Pentalogix ViewMaster (Windows) PTC Creo View Express (Windows)",Ucamco
gcw,Microsoft Mathematics Worksheet,Microsoft Mathematics (Windows),Microsoft
ged,GEDCOM Genealogy Data File,"Ages! (Windows) Ancestral Author (Windows) Behold (Windows) GeneWeb (Windows, Mac & Linux) Gramps (Windows, Mac & Linnux) Leister Prodcustions Reunion (Mac) LifeLines (Windows & Linux) RootsMagic (Windows) Taurus FamilyTree (Windows & Mac) Thoughtful Creations Genbox Family History (Windows)",The LDS Church
gms,Gesture and Motion Signal File,"LibGMS (Windows, Mac & Linux)",GMS
i5z,IUCLID 5 Import/Export File,IUCLID5 (Windows),IUCLID
ip,IconPackage Theme File,7-Zip (Windows) Stardock IconPackage (Windows),Stardock
itl,iTunes Library File,Apple iTunes,Apple
keychain,Mac OS X Keychain File,Apple Keychain Access,Apple
mtw,Minitab Worksheet File,Minitab (Windows),Minitab
nfi,Netflix Information File,Netflix (iOS & Android),Netflix
nfs,Netflix Subtitle File,Netflix (iOs & Android),Netflix
one,OneNote Document,Microsoft OneNote 2016 (Windows) Outline (Mac),Microsoft
ova,Open Virtual Appliance,"Oracle VM Virtualbox (Windows, Mac & Linux) VMware Fusion (Mac) VMware OVF Tool (Windows, Mac & Linux) VMware vCenter Converter (Windows) VMware Workstation (Windows & Linux)",VMware
ovf,Open Virtualization File,"Oracle VM Virtualbox (Windows, Mac & Linux) VMware Fusion (Mac) VMware OVF Tool (Windows, Mac & Linux) VMware Workstation (Windows & Linux)",VMware
qb2011,QuickBooks 2011 File,Intuit QuickBooks (Mac),Intuit
quickendata,Quicken Essentials for Mac Data File,Intuit Quicken (Mac),Intuit
rte,Revit Project Template,Autodesk AutoCAD Architecture (Windows) Autodesk MEP (Windows) Autodesk Revit Structure (Windows),Autodesk
rvt,Revit Project File,Autodesk AutoCAD Architecture (Windows) Autodesk MEP (Windows) Autodesk Revit Structure (Windows),Autodesk
sdf,Standard Data File,Pervasive PSQL dBase Rosenvick AspireGold,
tax,TurboTax Tax Return,Intuit TurboTax (Windows & Mac),Intuit
tax2012,TurboTax 2012 Tax Return,Intuit TurboTax Deluxe (Windows & Mac) TurboTax Online,Intuit
tax2014,TurboTax 2014 Tax Return,Intuit TurboTax Deluxe (Windows & Mac),Intuit
tax2016,TurboTax 2016 Tax Return,Intuit TurboTax Deluxe (Windows & Mac),Intuit
vcf,vCard File,Microsoft Windows Contacts Palm Desktop QUALCOMM Eudora Microsoft Outlook 2013 vCard Organizer Nokia PC Suite,Internet Mail Consortium
vcs,vCalendar Event File,Apple Calendar (Mac) Calligra Suite (Linux) Evolution (Linux) Microsoft Outlook 2016 (Windows & Mac),
xmind,XMind Workbook File,"Xmind (Windows, Mac & Linux) Seavus iMindQ (Windows, Mac & iOS)",XMind
accdb,Access 2007 Database File,Microsoft Access (Windows) Microsoft Visual Studio (Windows) MDB Viewer (Windows & Mac),Microsoft
bup,DVD Info Backup File,CD Indexer Brother Embroidery System File PC-Bibliothek Update File,
crypt,WhatsApp Encrypted Dastabase File,"WhatsApp Messenger (Android, iOS & Windows Phone) WhatsApp Xtract (Android)",WhatsApp
db,Database file,Microsoft Windows Microsoft Access 2013 Corel paradox Libre Office SQ lite,Microsoft Corporation
