Formato,Nome Formato,Programas que usam formato,Autor
dbf,Database File,dBase Microsoft Access 2016 Microsoft Excel 2016 Microsoft Visual FoxPro Corel Quattro Pro X7 Apache OpenOffice HiBase Group DBF Viewer 2000 Astersoft DBF Manager DBF Viewer Plus DBFView Swiftpage Act! Alpha Software Alpha Anywhere Planamesa NeoOffice (Mac) GTK DBF Editor (Mac & Linux) multisoft FlagShip (Linux),dBASE
mdb,Microsoft Access Database,Freewind MDB Converter (Windows) Kexi (Linux) mdb-expot (Linux) MDBopener (Web) MDB Viewer (Mac) MDB Viewer Plus (Windows) Microsoft Access 2016 (Windows) Microsoft Visual Studio 2013 (Windows) SAS Institute SAS (Windows & Linux) Wolfram Research Mathematica (Windows & Mac),Microsoft
pdb,Program Database,ICE Book Reader Palm Reader Microsoft Visual Studio Pegasus Quicken,Various
sql,Structured Query Language Data File,"Altova DatabaseSpy (Windows) Apple TextEdit (Mac) Bare Bones BBEdit (Mac) gVim (Windows) MacroMates TextMate (Mac) MalcolmHardie Solutions SQLEditor (Mac) Microsoft Notepad (Windows) MySQL (Windows, Mac & Linux) Richardson RazorSQL (Windows, Mac & Linux) Other text editors",
apa,RSView Development Project Archive,Rockwell Automation RSView Studio (Windows) RSView ME (Windows),Rockwell Automation
asc,ActionScript Communication File,Adobe Flash Professional (Windows & Mac),Adobe Systems
asm,Assembly Language Source Code File,File Viewer Plus (Windows) GNU Emacs (Linux) gVim (Windows) MacroMates TextMate (Mac) MacVim (Mac) Microsoft Notepad (Windows) Pico (Linux) Vim (Linux) Any Text Editor,
b,BASIC Source Code File,FreeBasic (Windows) Microsoft Visual Studio (Windows) PowerBASIC (Windows) PureBasic (Windows) Any text editor (Windows & Mac),
bas,BASIC Source Code File,"BBC BASIC for Windows (Windows) Blitz Research BlitzMax (Windows, Mac & Linux) FreeBASIC (Windows) Microsoft Visual Studio (Windows) PowerBASIC (Windows) PureBasic (Windows) SoftMaker Office (Windows) True BASIC (Windows)",
bet,BETA Source File,"BETA Compiler (Windows, Mac & Linux) Any Text Editor",
bluej,BlueJ Package File,"BlueJ (Windows, Mac & Linux)",University of Kent
c,C/C++ Source Code File,"Apple Xcode (Mac) BloodshedSoftware Dev-C++ (Windows) Borland C++Builder (Windows) Code::Blocks (Windows, Mac & Linux) Eclipse IDE for C Developers (Windows, Mac & Linux) Embarcadero C++Builder (Windows) ES-Computing EditPlus (Windows) Freescale CodeWarrior Development Tools (Mac) GNU Emacs (Linux) gVim (Windows) MacroMates TextMate (Mac) Microsoft Visual Studio 2013 (Windows) Vim (Linux) ZinjaI (Windows, Mac & Linux)",
cbl,COBOL Source Code File,"Alchemy Solutions NetCOBOL (Windows) File Viewer Plus (Windows) GnuCOBOL (Windows, Mac & Linux) IBM COBOL (Windows) TinyCOBOL (Linux)",
ccc,Dev-C++ Code Completion Cache,BloodshedSoftware Dev-C++ (Windows) Orwell Dev-C++ (Windows),
cd,Visual Studio Class Diagram,Microsoft Visual Studio (Windows),Microsoft
class,Java Class File,"Apple Jar Launcher (Mac) dirtyJOE (Windows) DJ Java Decompiler (Windows) Eclipse IDE for Java Developers (Windows, Mac & Linux) JD-GUI (Windows, Mac & Linux) Oracle Java Runtime Environment (Windows, Mac & Linux)",Oracle
cod,Compiled Source Code,BlackBerry JDE (Windows) dBase (Windows) Microsoft Visual Studio (Microsoft),
cpp,C++ Source Code File,"Apple Xcode (Mac) BloodshedSoftware Dev-C++ (Windows) Code::Blocks (Windows, Mac & Linux) Eclipse IDE for C Developers (Windows, Mac & Linux) Embarcadero Technologies C++ Builder (Windows) ES-Computing EditPlus (Windows) Freescale CodeWarrior Cevelopment Tool (Mac) GNU Compiler Collection (Mac & Linux) MacroMate TextMate (Mac) Microsoft Visual Studio 2013 (Windows)",
cs,Visual C# Source Code File,"Adobe Dreamweaver (Windows & Mac) ES-Computing EditPlus (Windows) IC Code SharpDevelop (Windows) Microsoft Visual Studio (Windows) MonoDevelop (Windows, Mac & Linux) Notepad++ (Windows)",Microsoft
d,D Source Code File,"Code::Blocks (Windows, MAC & Linux) Digital Mars D compiler (Windows & Linux) GDC (MAC & Linux) MacroMates TextMate (MAC) Any Text Editor",
def,C++ Module-Definition File,Microsoft Visual Studio (Windows) Any Text Editor,
dtd,Document Type Definition File,"Altova XMLSpy (Windows, Mac & Linux) Apple TextEdit (Mac) JAPISoft EditiX (Windows) Liquid Technologies Liquid XML Studio (Windows) MacroMates TextMate (Mac) Microsoft Notepad (Windows) Microsoft Visual Studio (Windows) Progress Stylus Studio (Windows) SyncRO Soft oXygen XML Editor (Windows, Mac & Linux) Other Text Editors",
erb,Ruby ERB Script,Apple TextEdit (Mac) Microsoft Notepad (Windows) Panic Coda 2 (Mac) Any Text Editor,
fla,Adobe Flash Animation,Adobe Flash Professional (Windows & Mac),Adobe Systems
fsproj,Visual F# Project File,Microsoft Visual Studio (Windows),Microsoft
fxc,FilePackager Configuration,DIMDATA FilePackager (Windows),DIMDATA
h,C/C++/Objective-C Header File,"BloodshedSoftware Dev-C++ (Windows) Borland C++ Compiler (Windows) Code::Blocks (Windows, Mac & Linux) Eclipse IDE for C Developers (Windows, Mac & Linux) Embarcadero C++ Builder (Windows) GNU Compiler Collection (Mac & Linux) GNU Emacs (Linux) gVim (Windows) MacroMates TextMate (Mac) MacVim (Mac) Microsoft Visual Studio (Windows) Vi (Linux) Any Text Editor",
hpp,C++ Header File,"Apple Xcode (Mac) BloodshedSoftware Dev-C++ (Windows) Code::Blocks (Windows, Mac & Linux) Embarcadero Technologies C++ Builder (Windows) GNU Compiler Collection (Mac & Linux) MacroMates TextMate (Mac) Microsoft Visual Studio (Windows)",
ise,InstallShield Express Project File,Flexera InstallShield (Windows),Flexera Software
iwb,IWBasic Source Code File,IconicWind IWBasic (Windows),IconicWind Software
java,Java Source Code File,"Apple Xcode (Mac) Eclipse IDE for Java Developers (Windows, Mac & Linux) ES-Computing EditPlus (Windows) Google Android Studio (Windows, Mac & Linux) GNU Emacs (Linux) gVim (Windows) javac (Linux) MacoMates TextMate (Mac) MacVim (Mac) Microsoft Notepad (Windows) Oracle Java Virtual Machine (Windows, Mac & Linux) Oracle NetBeans (Windows, Mac & Linux) Vi (Linux) Xinox JCreator (Windows) Any Text Editor",Oracle
kv,Kivy Language File,"Kivy (Windows, Mac & Linux)",Kivy Organization
lua,Lua Source File,Addon Studio for World of Warcraft (Windows) Blizzard World of Warcraft Interface AddOn Kit (Windows & Mac) GNU Compiler Collection (Mac & Linux) GNU Emacs (Linux) Microsoft Notepad (windows) Notepad++ (Windows) Rovio Mobile Angry Birds (Mac) Vim (Linux) Other text editor,
m,Objective-C Implementation File,"Apple compiler (Linux) Apple Xcode (Mac) Bare Bones BBEdit (Mac) GNU Compiler Collection (Mac & Linux) gVim (Windows) jEdit (Windows, Mac & Linux) MacroMates TextMate (Mac) MacVim (Mac) Richardson EditRocket (Windows, Mac & Linux) Stepstone compiler (Linux) Vim (Linux)",Apple
m4,Macro Processor Library,m4 (Linux) MacroMates TextMate (Mac) Any Text Editor,
md,Markdown Documentation File,"Apple TextEdit (Mac) Daring Fireball Markdown (Windows, Mac & Linux) GitHUb (Web) GNU Emacs (Linux) gVim (Windows) MacroMates TextMate (Mac & Linux) MacVim (Mac) Microsoft Notepad (Windows) Microsoft WordPad (Windows) Vim (Linux) any other text editor",John Gruber
nib,Interface Builder User Interface File,Apple Interface Builder (Mac) Apple Xcode (Mac),Apple
o,Compiled Object File,GNU Compiler Collection (Mac & Linux),
owl,OWL Source Code File,"Owl (Windows, Mac & Linux)",
p,PASCAL Program File,Applause MATLAB PASCAL Python pickle,Niklaus Wirth
pas,Pascal Source File,"Bare Bones BBEdit (Mac) Embarcadero Turbo Pascal (Windows) Free Pascal (Windows, Mac & Linux) Notepad++ (Windows) MacroMates TextMate (Mac) RemObjects Oxygene (Windows) Xidicone Zeus (Windows) Any Text Editor",Niklaus Wirth
pb,PureBasic Source File,"Fantaisie Software PureBasic (Windows, Mac & Linux) Any Text Editor",Fantaisie
pbj,Pixel Bender Bytecode File,Adobe Pixel Bender Toolkit (Windows & Mac) Adobe Flash Player (Windows & Mac),Adobe Systems
pbxuser,Xcode Project User Data File,Apple Xcode (Mac),Apple
pika,Pika Software Builder Project File,Pika Software Builder (Windows),Pika Software
pl,Perl Script,"ActiveState ActivePerl (Windows, Mac & Linux) Bare Bones BBEdit (Mac) ES-Computing EditPlus (Windows) IndigoStar PerlEdit (Windows) Late Night Affrus (Mac) MacroMates TextMate (Mac) Microsoft Notepad (Windows) Perl (Windows, Mac & Linux) Strawberry Perl (Windows)",
pwn,Pawn Source Code File,Pawno (Windows) PawnSciTE (Windows) PawnoX (Windows) SA-MP Editor (Windows) SAMPCE (Windows),ITB CompuPhase
py,Python Script,"gedit (Linux) GNU Emacs (Linux) MacroMates TextMate (Mac) Microsoft Notepad (Windows) Notepad++ (Windows) Python Software Foundation Python (Windows, Mac & Linux) Other text editor",Python Software Foundation
pyw,Python GUI Source File,"pythonw (Windows, Mac & Linux)",
qpr,FoxPro Generated Query Program,Microsoft Visual FoxPro,
rc,Resource Script,Borland C++Builder Embarcadero C++ Builder Microsoft Visual Studio,Microsoft
resources,Visual Studio Resource File,Microsoft Visual Studio (Windows),Microsoft
s19,Motorola S19 File Record,Metrowekrs CodeWorrior (Windows & Mac) P&E Microcomputer Systems WinIDE (Windows),Motorola
sb,Scratch Project File,"MIT Scratch (Windows, Mac, Linux & Web) Panther (Windows) Snap! (Windows, Mac & Linux)",MIT
sb2,Scratch 2.0 Project File,"MIT Scratch (Windows, Mac, Linux & Web) Panther (Windows) Snap! (Windows, Mac & Linux)",MIT
sh,Bash Shell Script,"Apple Terminal (Mac) Cygwin (Windows) BNU Bash (Windows, Mac & Linux) gVIM (Windows) iTerm (Mac) MacVim (Mac) Notepad++ (Windows) Vim (Linux)",
sln,Visual Studio Solution File,Microsoft Visual Studio 2013 (Windows) MonoDevelop (Windows & Mac) VSoft Technologies FinalBuilder (Windows),Microsoft
sma,AMX Mod Plugin Source File,AMX Mod (Windows & Linux) AMX Mod X (Windows & Linux),n/A
ss,SilverStripe Source Code File,"Silver Stripe (Windows, Mac & Linux)",SilverStripe
suo,Visual Studio Solution User Options File,Microsoft Visual Studio (Windows),Microsoft
swift,Swift Source Code File,Apple Xcode (Mac) Other text editors (Mac),Apple
trx,Microsoft Visual Studio Test Results File,Microsoft MSTest (Windows) Microsoft Visual Studio (Windows),Microsoft
